beta,strategy,amplitude,objective_gain,gain_divided_by_K,identity_error
-0.25,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.22499999999999998,full,1.0,-0.0010182765248236553,-0.7249999999999918,1.1492543028346347e-17
-0.22499999999999998,half,0.5,-0.0003335733443387834,-0.23749999999999713,4.0115480381963664e-18
-0.22499999999999998,interval_0.2_0.8,0.2,-9.129375739798384e-05,-0.06499999999999995,8.131516293641283e-20
-0.22499999999999998,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.19999999999999996,full,1.0,-0.000983163541209045,-0.699999999999991,1.2576745200831851e-17
-0.19999999999999996,half,0.5,-0.00031601685253147827,-0.22499999999999676,4.553649124439119e-18
-0.19999999999999996,interval_0.2_0.8,0.2,-8.427116067506735e-05,-0.060000000000003745,5.2583805365546965e-18
-0.19999999999999996,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.175,full,1.0,-0.0009480505575944348,-0.6749999999999903,1.3769367590565906e-17
-0.175,half,0.5,-0.00029846036072417315,-0.2124999999999964,5.095750210681871e-18
-0.175,interval_0.2_0.8,0.2,-7.724856395213697e-05,-0.05499999999999767,3.279711571768651e-18
-0.175,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.14999999999999997,full,1.0,-0.0009129375739798246,-0.6499999999999895,1.463672932855431e-17
-0.14999999999999997,half,0.5,-0.000280903868916868,-0.19999999999999601,5.583641188300348e-18
-0.14999999999999997,interval_0.2_0.8,0.2,-7.022596722922048e-05,-0.050000000000001474,2.0735366548785272e-18
-0.14999999999999997,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.125,full,1.0,-0.0008778245903652282,-0.6249999999999987,1.8431436932253575e-18
-0.125,half,0.5,-0.0002633473771095768,-0.18750000000000552,7.752045533271357e-18
-0.125,interval_0.2_0.8,0.2,-6.320337050630398e-05,-0.04500000000000528,7.413232354369637e-18
-0.125,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.09999999999999998,full,1.0,-0.000842711606750618,-0.599999999999998,2.927345865710862e-18
-0.09999999999999998,half,0.5,-0.00024579088530227167,-0.17500000000000515,7.26415455565288e-18
-0.09999999999999998,interval_0.2_0.8,0.2,-5.618077378338748e-05,-0.040000000000009084,1.275970431743878e-17
-0.09999999999999998,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.07499999999999996,full,1.0,-0.0008075986231360077,-0.5749999999999972,3.903127820947816e-18
-0.07499999999999996,half,0.5,-0.00022823439349496655,-0.16250000000000478,6.749158523722265e-18
-0.07499999999999996,interval_0.2_0.8,0.2,-4.915817706045711e-05,-0.03500000000000301,4.228388472693467e-18
-0.07499999999999996,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.04999999999999999,full,1.0,-0.0007724856395213975,-0.5499999999999965,4.9873299934333204e-18
-0.04999999999999999,half,0.5,-0.00021067790168766143,-0.15000000000000444,6.207057437479513e-18
-0.04999999999999999,interval_0.2_0.8,0.2,-4.213558033754061e-05,-0.030000000000006813,9.568084172184577e-18
-0.04999999999999999,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.024999999999999967,full,1.0,-0.0007373726559067872,-0.5249999999999957,5.854691731421724e-18
-0.024999999999999967,half,0.5,-0.0001931214098803563,-0.13750000000000406,5.719166459861036e-18
-0.024999999999999967,interval_0.2_0.8,0.2,-3.511298361461024e-05,-0.025000000000000737,1.0367683274392636e-18
-0.024999999999999967,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.0,full,1.0,-0.000702259672292177,-0.499999999999995,7.047314121155779e-18
0.0,half,0.5,-0.0001755649180730512,-0.1250000000000037,5.177065373618284e-18
0.0,interval_0.2_0.8,0.2,-2.809038689169374e-05,-0.020000000000004542,6.373075895141356e-18
0.0,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.025000000000000022,full,1.0,-0.0006671466886775668,-0.47499999999999426,8.023096076392733e-18
0.025000000000000022,half,0.5,-0.00015800842626574607,-0.11250000000000332,4.662069341687669e-18
0.025000000000000022,interval_0.2_0.8,0.2,-2.1067790168763367e-05,-0.014999999999998466,2.15485181781494e-18
0.025000000000000022,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.050000000000000044,full,1.0,-0.0006320337050629565,-0.4499999999999935,9.107298248878237e-18
0.050000000000000044,half,0.5,-0.00014045193445844095,-0.10000000000000295,4.174178364069192e-18
0.050000000000000044,interval_0.2_0.8,0.2,-1.404519344584687e-05,-0.010000000000002271,3.1967023429377295e-18
0.050000000000000044,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.07500000000000007,full,1.0,-0.0005969207214483463,-0.4249999999999928,1.0083080204115191e-17
0.07500000000000007,half,0.5,-0.00012289544265113583,-0.08750000000000258,3.6591823321385775e-18
0.07500000000000007,interval_0.2_0.8,0.2,-7.0225967229164965e-06,-0.004999999999996195,5.330378337071312e-18
0.07500000000000007,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.10000000000000009,full,1.0,-0.0005618077378337499,-0.4000000000000019,2.8189256484623115e-18
0.10000000000000009,half,0.5,-0.00010533895084384459,-0.0750000000000121,1.7049079162334557e-17
0.10000000000000009,interval_0.2_0.8,0.2,-1.3877787807814457e-17,-9.88080930414044e-15,1.389727942925057e-17
0.10000000000000009,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.125,full,1.0,-0.0005266947542191258,-0.3749999999999913,1.22514845490862e-17
0.125,half,0.5,-8.77824590365256e-05,-0.06250000000000185,2.588532686809142e-18
0.125,interval_0.2_0.8,0.2,7.0225967229164965e-06,0.004999999999996195,5.340542732438364e-18
0.125,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.15000000000000002,full,1.0,-0.0004915817706045295,-0.3500000000000004,6.505213034913027e-19
0.15000000000000002,half,0.5,-7.022596722923435e-05,-0.050000000000011355,1.5964876989849053e-17
0.15000000000000002,interval_0.2_0.8,0.2,1.4045193445832993e-05,0.00999999999999239,1.0691249860243779e-17
0.15000000000000002,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.17500000000000004,full,1.0,-0.0004564687869899192,-0.3249999999999997,3.7947076036992655e-19
0.17500000000000004,half,0.5,-5.2669475421929235e-05,-0.03750000000001099,1.5463433485074507e-17
0.17500000000000004,interval_0.2_0.8,0.2,2.106779016874949e-05,0.014999999999988585,1.603941588920743e-17
0.17500000000000004,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.20000000000000007,full,1.0,-0.000421355803375309,-0.299999999999999,1.3552527156068805e-18
0.20000000000000007,half,0.5,-3.511298361461024e-05,-0.025000000000000737,1.0842021724855044e-18
0.20000000000000007,interval_0.2_0.8,0.2,2.8090386891679864e-05,0.01999999999999466,7.514876308040153e-18
0.20000000000000007,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.2250000000000001,full,1.0,-0.00038624281976069874,-0.27499999999999825,2.3852447794681098e-18
0.2250000000000001,half,0.5,-1.755649180730512e-05,-0.012500000000000368,5.793705359219414e-19
0.2250000000000001,interval_0.2_0.8,0.2,3.511298361459636e-05,0.024999999999990856,1.2861348271109296e-17
0.2250000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.25,full,1.0,-0.0003511298361460885,-0.2499999999999975,3.5236570605778894e-18
0.25,half,0.5,0.0,0.0,0.0
0.25,interval_0.2_0.8,0.2,4.2135580337526735e-05,0.029999999999996932,4.30970363562988e-18
0.25,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.275,full,1.0,-0.00031601685253147827,-0.22499999999999676,4.553649124439119e-18
0.275,half,0.5,1.755649180730512e-05,0.012500000000000368,5.014435047745458e-19
0.275,interval_0.2_0.8,0.2,4.915817706044323e-05,0.03499999999999313,9.656175598699024e-18
0.275,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.30000000000000004,full,1.0,-0.000280903868916868,-0.19999999999999601,5.5294310796760726e-18
0.30000000000000004,half,0.5,3.511298361461024e-05,0.025000000000000737,1.0028870095490916e-18
0.30000000000000004,interval_0.2_0.8,0.2,5.6180773783373605e-05,0.0399999999999992,1.1316360175317453e-18
0.30000000000000004,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.32500000000000007,full,1.0,-0.0002457908853022578,-0.17499999999999527,6.559423143537302e-18
0.32500000000000007,half,0.5,5.266947542191536e-05,0.03750000000000111,1.5043305143236374e-18
0.32500000000000007,interval_0.2_0.8,0.2,6.32033705062901e-05,0.0449999999999954,6.478107980600889e-18
0.32500000000000007,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.3500000000000001,full,1.0,-0.00021067790168764755,-0.14999999999999455,7.535205098774256e-18
0.3500000000000001,half,0.5,7.022596722922048e-05,0.050000000000001474,2.0057740190981832e-18
0.3500000000000001,interval_0.2_0.8,0.2,7.022596722922048e-05,0.050000000000001474,2.0464316005663896e-18
0.3500000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.375,full,1.0,-0.0001755649180730373,-0.12499999999999381,8.700722434196173e-18
0.375,half,0.5,8.77824590365256e-05,0.06250000000000185,2.588532686809142e-18
0.375,interval_0.2_0.8,0.2,7.724856395213697e-05,0.05499999999999767,3.279711571768651e-18
0.375,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.4,full,1.0,-0.00014045193445844095,-0.10000000000000295,4.174178364069192e-18
0.4,half,0.5,0.00010533895084381684,0.07499999999999234,1.0787811616230769e-17
0.4,interval_0.2_0.8,0.2,8.427116067505347e-05,0.059999999999993864,8.632959798415829e-18
0.4,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.42500000000000004,full,1.0,-0.00010533895084383071,-0.07500000000000222,3.1712913545201005e-18
0.42500000000000004,half,0.5,0.00012289544265112196,0.0874999999999927,1.0272815584300155e-17
0.42500000000000004,interval_0.2_0.8,0.2,9.129375739796997e-05,0.06499999999999007,1.3986208025063007e-17
0.42500000000000004,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.45000000000000007,full,1.0,-7.022596722922048e-05,-0.050000000000001474,2.168404344971009e-18
0.45000000000000007,half,0.5,0.00014045193445842707,0.09999999999999307,9.784924606681678e-18
0.45000000000000007,interval_0.2_0.8,0.2,9.831635412090034e-05,0.06999999999999613,5.4616684438957286e-18
0.45000000000000007,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.4750000000000001,full,1.0,-3.511298361459636e-05,-0.024999999999990856,1.2719046735970574e-17
0.4750000000000001,half,0.5,0.0001580084262657322,0.11249999999999344,9.269928574751063e-18
0.4750000000000001,interval_0.2_0.8,0.2,0.00010533895084381684,0.07499999999999234,1.0801364143386838e-17
0.4750000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.5,full,1.0,0.0,0.0,0.0
0.5,half,0.5,0.0001755649180730373,0.12499999999999381,8.700722434196173e-18
0.5,interval_0.2_0.8,0.2,0.00011236154756674721,0.0799999999999984,2.236166980751353e-18
0.5,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.5250000000000001,full,1.0,3.5112983614624116e-05,0.025000000000010618,1.4724820755068757e-17
0.5250000000000001,half,0.5,0.0001931214098803563,0.13750000000000406,5.6107462426124854e-18
0.5250000000000001,interval_0.2_0.8,0.2,0.00011938414428966371,0.08499999999999461,7.630072788866737e-18
0.5250000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.55,full,1.0,7.022596722922048e-05,0.050000000000001474,2.0057740190981832e-18
0.55,half,0.5,0.00021067790168764755,0.14999999999999455,7.697835424647081e-18
0.55,interval_0.2_0.8,0.2,0.0001264067410125802,0.0899999999999908,1.292911090688964e-17
0.55,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.575,full,1.0,0.00010533895084383071,0.07500000000000222,3.1712913545201005e-18
0.575,half,0.5,0.00022823439349495267,0.1624999999999949,7.128629284092192e-18
0.575,interval_0.2_0.8,0.2,0.00013342933773551058,0.09499999999999688,4.363913744254155e-18
0.575,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.6000000000000001,full,1.0,0.00014045193445845483,0.10000000000001283,1.7889335846010823e-17
0.6000000000000001,half,0.5,0.00024579088530227167,0.17500000000000515,7.209944447028604e-18
0.6000000000000001,interval_0.2_0.8,0.2,0.00014045193445844095,0.10000000000000295,4.119968255444917e-18
0.6000000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.625,full,1.0,0.00017556491807305813,0.12500000000000863,1.2115959277525512e-17
0.625,half,0.5,0.00026334737710956985,0.18750000000000058,8.131516293641283e-19
0.625,interval_0.2_0.8,0.2,0.00014747453118135745,0.10499999999999915,1.1926223897340549e-18
0.625,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.6500000000000001,full,1.0,0.00021067790168766143,0.15000000000000444,6.0173220572945496e-18
0.6500000000000001,half,0.5,0.000280903868916868,0.19999999999999601,5.692061405548898e-18
0.6500000000000001,interval_0.2_0.8,0.2,0.000154497127904267,0.1099999999999904,1.3525422101756668e-17
0.6500000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.675,full,1.0,0.00024579088530227167,0.17500000000000515,7.209944447028604e-18
0.675,half,0.5,0.00029846036072417315,0.2124999999999964,5.095750210681871e-18
0.675,interval_0.2_0.8,0.2,0.00016151972462719044,0.11499999999999154,1.1899118843028411e-17
0.675,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.7000000000000002,full,1.0,0.0002809038689168819,0.2000000000000059,8.023096076392733e-18
0.7000000000000002,half,0.5,0.00031601685253147827,0.22499999999999676,4.662069341687669e-18
0.7000000000000002,interval_0.2_0.8,0.2,0.00016854232135011388,0.11999999999999267,1.0354130747236567e-17
0.7000000000000002,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.7250000000000001,full,1.0,0.00031601685253149214,0.22500000000000664,9.215718466126788e-18
0.7250000000000001,half,0.5,0.0003335733443387834,0.23749999999999713,4.119968255444917e-18
0.7250000000000001,interval_0.2_0.8,0.2,0.0001755649180730373,0.12499999999999381,8.700722434196173e-18
0.7250000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.75,full,1.0,0.0003511298361461024,0.2500000000000074,1.0354130747236567e-17
0.75,half,0.5,0.0003511298361460885,0.2499999999999975,3.5236570605778894e-18
0.75,interval_0.2_0.8,0.2,0.0001825875147959538,0.12999999999999,1.4040418133687282e-17
0.75,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.7750000000000001,full,1.0,0.0003862428197607126,0.2750000000000081,1.1221492485224971e-17
0.7750000000000001,half,0.5,0.0003686863279533936,0.26249999999999785,3.0899761915836876e-18
0.7750000000000001,interval_0.2_0.8,0.2,0.00018961011151888418,0.13499999999999607,5.5294310796760726e-18
0.7750000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.8,full,1.0,0.00042135580337532286,0.30000000000000887,1.235990476633475e-17
0.8,half,0.5,0.00038624281976069874,0.27499999999999825,2.4936649967166602e-18
0.8,interval_0.2_0.8,0.2,0.00019663270824180068,0.13999999999999227,1.0869126779167182e-17
0.8,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.8250000000000002,full,1.0,0.00045646878698992616,0.3250000000000046,6.288372600415926e-18
0.8250000000000002,half,0.5,0.00040379931156800386,0.2874999999999986,2.1141942363467336e-18
0.8250000000000002,interval_0.2_0.8,0.2,0.00020365530496472412,0.1449999999999934,9.2970336290632e-18
0.8250000000000002,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.8500000000000001,full,1.0,0.0004915817706045433,0.3500000000000103,1.441988889405721e-17
0.8500000000000001,half,0.5,0.000421355803375309,0.299999999999999,1.5178830414797062e-18
0.8500000000000001,interval_0.2_0.8,0.2,0.00021067790168764755,0.14999999999999455,7.697835424647081e-18
0.8500000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.875,full,1.0,0.0005266947542191536,0.37500000000001105,1.5504091066542713e-17
0.875,half,0.5,0.0004389122951826141,0.31249999999999933,9.215718466126788e-19
0.875,interval_0.2_0.8,0.2,0.00021770049841057099,0.15499999999999567,6.0986372202309624e-18
0.875,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.9000000000000001,full,1.0,0.0005618077378337569,0.40000000000000685,9.432558900623889e-18
0.9000000000000001,half,0.5,0.0004564687869899123,0.32499999999999474,7.426784881525705e-18
0.9000000000000001,interval_0.2_0.8,0.2,0.00022472309513348748,0.15999999999999187,1.146543797403421e-17
0.9000000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.925,full,1.0,0.0005969207214483671,0.4250000000000076,1.0625181290357943e-17
0.925,half,0.5,0.0004740252787972174,0.33749999999999514,6.884683795282953e-18
0.925,interval_0.2_0.8,0.2,0.00023174569185641092,0.164999999999993,9.86623976961809e-18
0.925,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.9500000000000002,full,1.0,0.0006320337050629704,0.4500000000000034,4.553649124439119e-18
0.9500000000000002,half,0.5,0.0004915817706045225,0.3499999999999955,6.396792817664476e-18
0.9500000000000002,interval_0.2_0.8,0.2,0.00023876828857932741,0.16999999999998922,1.5233040523421337e-17
0.9500000000000002,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
0.9750000000000001,full,1.0,0.0006671466886775806,0.47500000000000414,5.637851296924623e-18
0.9750000000000001,half,0.5,0.0005091382624118276,0.3624999999999959,5.854691731421724e-18
0.9750000000000001,interval_0.2_0.8,0.2,0.00024579088530225085,0.17499999999999033,1.360673726469308e-17
0.9750000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.0,full,1.0,0.0007022596722921909,0.5000000000000049,6.830473686658678e-18
1.0,half,0.5,0.0005266947542191258,0.3749999999999913,1.22514845490862e-17
1.0,interval_0.2_0.8,0.2,0.0002528134820251743,0.17999999999999147,1.1980434005964824e-17
1.0,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.0250000000000001,full,1.0,0.0007373726559068011,0.5250000000000056,7.697835424647081e-18
1.0250000000000001,half,0.5,0.0005442512460264448,0.38750000000000157,2.0599841277224584e-18
1.0250000000000001,interval_0.2_0.8,0.2,0.00025983607874810466,0.18499999999999756,3.5236570605778894e-18
1.0250000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.05,full,1.0,0.0007724856395214114,0.5500000000000064,8.890457814381136e-18
1.05,half,0.5,0.0005618077378337499,0.4000000000000019,2.710505431213761e-18
1.05,interval_0.2_0.8,0.2,0.00026685867547102116,0.18999999999999376,8.782037597132586e-18
1.05,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.0750000000000002,full,1.0,0.0008075986231360147,0.5750000000000022,2.710505431213761e-18
1.0750000000000002,half,0.5,0.0005793642296410481,0.41249999999999737,3.903127820947816e-18
1.0750000000000002,interval_0.2_0.8,0.2,0.0002738812721939446,0.19499999999999487,7.26415455565288e-18
1.0750000000000002,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.1,full,1.0,0.0008427116067506318,0.6000000000000079,1.0842021724855044e-17
1.1,half,0.5,0.0005969207214483602,0.42500000000000265,3.686287386450715e-18
1.1,interval_0.2_0.8,0.2,0.000280903868916868,0.19999999999999601,5.583641188300348e-18
1.1,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.125,full,1.0,0.0008778245903652421,0.6250000000000085,1.2034644114589099e-17
1.125,half,0.5,0.0006144772132556583,0.43749999999999806,2.710505431213761e-18
1.125,interval_0.2_0.8,0.2,0.0002879264656397845,0.20499999999999222,1.0950441942103595e-17
1.125,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.1500000000000001,full,1.0,0.0009129375739798454,0.6500000000000044,5.9631119486702744e-18
1.1500000000000001,half,0.5,0.0006320337050629635,0.44999999999999846,2.2768245622195593e-18
1.1500000000000001,interval_0.2_0.8,0.2,0.00029494906236270796,0.20999999999999336,9.378348791999613e-18
1.1500000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.175,full,1.0,0.0009480505575944556,0.675000000000005,7.047314121155779e-18
1.175,half,0.5,0.0006495901968702686,0.4624999999999988,1.734723475976807e-18
1.175,interval_0.2_0.8,0.2,0.0003019716590856314,0.21499999999999447,7.806255641895632e-18
1.175,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.2000000000000002,full,1.0,0.0009831635412090658,0.7000000000000058,8.023096076392733e-18
1.2000000000000002,half,0.5,0.0006671466886775737,0.4749999999999992,1.3010426069826053e-18
1.2000000000000002,interval_0.2_0.8,0.2,0.0003089942558085479,0.21999999999999068,1.3118846287074604e-17
1.2000000000000002,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.225,full,1.0,0.001018276524823676,0.7250000000000065,9.107298248878237e-18
1.225,half,0.5,0.0006847031804848788,0.48749999999999954,6.505213034913027e-19
1.225,interval_0.2_0.8,0.2,0.0003160168525314713,0.22499999999999182,1.1546753136970622e-17
1.225,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.25,full,1.0,0.0010533895084382863,0.7500000000000073,1.0191500421363742e-17
1.25,half,0.5,0.0007022596722921839,0.49999999999999994,1.0842021724855044e-19
1.25,interval_0.2_0.8,0.2,0.00032303944925439476,0.22999999999999296,9.86623976961809e-18
1.25,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.2750000000000001,full,1.0,0.0010885024920528896,0.7750000000000031,4.119968255444917e-18
1.2750000000000001,half,0.5,0.0007198161640994821,0.5124999999999954,6.613633252161577e-18
1.2750000000000001,interval_0.2_0.8,0.2,0.0003300620459773182,0.23499999999999407,8.348356728138384e-18
1.2750000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.3,full,1.0,0.0011236154756674999,0.8000000000000038,5.421010862427522e-18
1.3,half,0.5,0.0007373726559067872,0.5249999999999957,6.071532165918825e-18
1.3,interval_0.2_0.8,0.2,0.0003370846427002347,0.23999999999999028,1.3660947373317356e-17
1.3,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.3250000000000002,full,1.0,0.00115872845928211,0.8250000000000046,6.071532165918825e-18
1.3250000000000002,half,0.5,0.0007549291477140924,0.5374999999999961,5.637851296924623e-18
1.3250000000000002,interval_0.2_0.8,0.2,0.00034410723942315813,0.24499999999999142,1.214306433183765e-17
1.3250000000000002,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.35,full,1.0,0.0011938414428967203,0.8500000000000053,7.37257477290143e-18
1.35,half,0.5,0.0007724856395213975,0.5499999999999965,4.9873299934333204e-18
1.35,interval_0.2_0.8,0.2,0.00035112983614608156,0.24999999999999256,1.0462550964485118e-17
1.35,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.375,full,1.0,0.0012289544265113306,0.875000000000006,8.456776945386935e-18
1.375,half,0.5,0.0007900421313287026,0.5624999999999968,4.445228907190568e-18
1.375,interval_0.2_0.8,0.2,0.000358152432869005,0.2549999999999937,8.890457814381136e-18
1.375,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.4000000000000001,full,1.0,0.0012640674101259339,0.9000000000000018,2.3852447794681098e-18
1.4000000000000001,half,0.5,0.0008075986231360077,0.5749999999999972,4.0115480381963664e-18
1.4000000000000001,interval_0.2_0.8,0.2,0.0003651750295919215,0.2599999999999899,1.4203048459560108e-17
1.4000000000000001,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.425,full,1.0,0.0012991803937405441,0.9250000000000026,3.469446951953614e-18
1.425,half,0.5,0.0008251551149433128,0.5874999999999976,3.469446951953614e-18
1.425,interval_0.2_0.8,0.2,0.00037219762631484493,0.264999999999991,1.2630955309456127e-17
1.425,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
1.4500000000000002,full,1.0,0.0013342933773551613,0.9500000000000083,1.1275702593849246e-17
1.4500000000000002,half,0.5,0.0008427116067506249,0.6000000000000029,3.903127820947816e-18
